ID do achado,Artefato analisado,Elemento analisado,Achado de privacidade,Conceito da OntoPrivacy,Titular,Agente ou ator,Operação de tratamento,Finalidade ou condição de tratamento,Requisito derivado,Tipo de elemento derivado,Fonte normativa ou conceitual,Evidência no artefato,Ponto de atenção,Status da revisão
MPA-11,C01; C02,"Boletim, histórico e relatório de resultados","Boletim, histórico e resultado individual da turma são registros compostos de Dados Pessoais.",Dado Pessoal,AG-01,AG-01–AG-03; AG-08,OP-35–OP-41,"FA-35–FA-41, incorporando a finalidade Parcial de FA-41",RP-45 (texto revisado quanto ao responsável institucional),Negócio,OntoPrivacy; GERPD; LGPD/ISO em nível geral,C01 RF11/RF12/RNF07/RNF08; C02 Tabela 5,PA-14,Aceito com ajustes
MPA-12,C01; C02,RNF10 — WebService de CEP,"A integração prevista em RNF10 menciona CEP, mas C01/C02 não permitem confirmar sua natureza como Dado Pessoal nem caracterizar o fluxo de tratamento.",Não aplicável — classificação ontológica de DP-37 não confirmada,A verificar,AG-09; AG-08,A verificar,FA-42,RP-36; RP-37 (responsáveis revisados),Negócio,GERPD; OntoPrivacy,C01 RNF10; ausência de interface/dado correspondente em C02,PA-07,Aceito com ajustes
MPA-13,C01; C02,Inventário DP-xx,Não foi identificada evidência suficiente para classificar qualquer dado do corpus como Dado Pessoal Sensível.,"Dado Pessoal Sensível, somente como categoria procurada e não constatada",Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,OntoPrivacy; GERPD,Exame integral de C01/C02; sexo/foto não possuem evidência contextual suficiente para classificação sensível,Não identificado,Aceito
MPA-14,C01; C02,Inventário e operações,"Não foram identificados Dado Anonimizado, Anonimização ou Pseudonimização no Tibico documentado.","Dado Anonimizado; Anonimização; Pseudonimização, somente como conceitos procurados e não constatados",Não aplicável,Não aplicável,Nenhuma dessas operações identificada,Não aplicável,Não aplicável,Não aplicável,OntoPrivacy; GERPD,Ausência de evidência correspondente em C01/C02,Não identificado,Aceito
MPA-15,C01; C02,Perfil Aluno,"O aluno é Pessoa Natural, Titular e Ator Autorizado apenas nos acessos e ações próprias explicitamente previstos.",Pessoa Natural; Titular de Dados Pessoais; Ator; Ator Autorizado,AG-01,AG-01,"OP-07, OP-08, OP-22/23, OP-37–OP-41 conforme contexto","FA-07/08, FA-22/23, FA-37–FA-41",RP-07; RP-08; RP-30–RP-34,Funcional; Controle,OntoPrivacy; GERPD,C01 acesso aos próprios dados/boletim/histórico; C02 Efetuar Matrícula,PA-05; PA-15–PA-17,Aceito
MPA-16,C01; C02,Perfil Professor,"Professor é Pessoa Natural, Titular e Ator Autorizado nas funções de pauta, suas turmas e seus próprios dados.",Pessoa Natural; Titular de Dados Pessoais; Ator; Ator Autorizado,AG-02,AG-02,"OP-15/16, OP-25–OP-32, OP-35/36 conforme contexto","FA-15/16, FA-25–FA-32, FA-35/36",RP-09; RP-10; RP-20; RP-21; RP-23/24; RP-26; RP-28,Funcional,OntoPrivacy; GERPD,C01 minimundo; C02 Tabela 2 e casos de uso ControlePauta,PA-05; PA-15,Aceito
MPA-17,C01; C02,Perfil Funcionário do registro acadêmico,"O Funcionário do registro acadêmico é Pessoa Natural, Titular de suas credenciais e Ator Autorizado nas funções administrativas explicitadas; 'registro escolar' permanece expressão documental correlata.",Pessoa Natural; Titular de Dados Pessoais; Ator; Ator Autorizado,AG-03,AG-03,"OP-01–OP-06, OP-09–OP-14, OP-20–OP-24, OP-31–OP-41 conforme função",FA correspondentes,RP-06 (responsável revisado); RP-11; RP-23–RP-26; RP-30; RP-33,Controle; Funcional,OntoPrivacy; GERPD,C01/C02 descrevem funções administrativas do registro acadêmico,PA-05; PA-15,Aceito com ajustes
MPA-18,C01; C02,Pai e mãe no cadastro do aluno,Pai e mãe são Titulares apenas dos próprios nomes registrados; não há interação deles com o sistema documentada.,Pessoa Natural; Titular de Dados Pessoais,AG-04; AG-05,AG-04; AG-05,Nenhuma ação atribuída aos titulares; OP-01/03 executadas no cadastro do aluno,FA-01/03,RP-04,Negócio,OntoPrivacy; GERPD,DP-11/DP-12; AG-04/AG-05; AR-01,PA-03,Aceito
MPA-19,C01,Relatório de resultados,Outro aluno é Ator Desautorizado no contexto de acesso aos resultados de um aluno terceiro.,Ator; Ator Desautorizado,AG-01 do aluno cujos dados seriam acessados,AG-06,Consulta/Disponibilização vedadas no contexto de OP-35/36,FA-35/36,RP-26; RP-27,Funcional; Critério de aceitação,OntoPrivacy; GERPD,C01: relatório não pode ser acessado por outros alunos,PA-15,Aceito
MPA-20,C01; C02,Instituição de ensino,"A instituição de ensino participa do contexto e define o login administrativo, mas o corpus não sustenta atribuição de Controlador, Operador ou Terceiro nem a torna automaticamente responsável pelas decisões de privacidade derivadas.","Controlador; Operador; Terceiro — conceitos candidatos à validação, não atribuídos",Não aplicável,AG-07,Conforme papel futuramente validado,A verificar,RP-40 (responsável revisado),Negócio,OntoPrivacy; GERPD; LGPD/ISO em nível geral,C01 menciona instituição; ausência de definição de responsabilidades de tratamento,PA-02,Aceito com ajustes
MPA-21,C01,WebService de CEP,"O participante associado ao WebService de CEP não pode ser classificado automaticamente como Controlador, Operador ou Terceiro; provedor, fluxo e responsabilidades permanecem a verificar.","Controlador; Operador; Terceiro — conceitos candidatos à validação, não atribuídos",A verificar,AG-09,A verificar,FA-42,RP-37; RP-40 (responsáveis revisados),Negócio,OntoPrivacy; GERPD; LGPD/ISO em nível geral,"RNF10 não identifica provedor, contrato nem responsabilidades",PA-02; PA-07,Aceito com ajustes
MPA-22,C01; C02,Sistema Tibico,"O Tibico atua como executor técnico de comportamentos automatizados, mas não foi convertido em pessoa ou papel jurídico/ontológico de agente.",Nenhum conceito de pessoa/agente atribuído ao sistema,Não aplicável,AG-08 — participante técnico,OP-xx automatizadas conforme processo,FA correspondentes,Não aplicável diretamente,Não aplicável,GERPD; OntoPrivacy,"Geração de matrícula/login, cálculos e atualizações automáticas no corpus",Não identificado,Aceito
MPA-23,C01; C02,Tratamentos documentados,"Finalidades funcionais existem, mas nenhuma condição autorizadora é identificada no corpus.",Tratamento de Dados Pessoais; Consentimento,Titulares conforme tratamento,AG-07 e participantes conforme operação,OP-01–OP-41,FA-01–FA-43: condição A verificar,RP-01 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Ausência de Consentimento/outra condição documentada,PA-01,Aceito com ajustes
MPA-24,C01; C02,Cadastro de aluno,A necessidade individual de cada dado cadastral do aluno não está justificada.,Dado Pessoal; Coleta; Armazenamento; Titular de Dados Pessoais,AG-01,AG-03; AG-08,OP-01; OP-03,FA-01; FA-03,RP-02 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Campos previstos sem justificativa individual de necessidade,PA-03,Aceito com ajustes
MPA-25,C01; C02,Cadastro de professor,A necessidade individual dos dados cadastrais do professor não está justificada.,Dado Pessoal; Coleta; Armazenamento; Titular de Dados Pessoais,AG-02,AG-03; AG-08,OP-09; OP-11,FA-09; FA-11,RP-03 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Campos previstos sem justificativa individual,PA-03,Aceito com ajustes
MPA-26,C01; C02,Nome do pai/mãe,A necessidade específica de manter os nomes do pai e da mãe não está documentada.,Dado Pessoal; Titular de Dados Pessoais; Coleta; Armazenamento,AG-04; AG-05,AG-03; AG-08,OP-01; OP-03,FA-01; FA-03,RP-04 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Nomes exigidos no cadastro sem finalidade específica documentada,PA-03,Aceito com ajustes
MPA-27,C01,Foto de perfil,A foto é expressamente opcional e não deve tornar-se requisito para concluir o cadastro básico.,Dado Pessoal; Coleta,AG-01; AG-02,AG-03/AG-08,OP-02; OP-10,FA-02; FA-10,RP-05,Critério de aceitação,GERPD; OntoPrivacy,“Podendo-se adicionar uma foto”,PA-09,Aceito
MPA-28,C01; C02,Campos cadastrais e permissões,"O corpus não define integralmente quais campos cada perfil pode consultar, alterar ou excluir.",Dado Pessoal; Consulta; Alteração; Exclusão; Ator Autorizado,AG-01; AG-02,AG-01–AG-03,OP-04–OP-08; OP-12–OP-16,FA-04–FA-08; FA-12–FA-16,RP-06 — considerar texto humano revisado da Etapa 3.2,Controle,GERPD; OntoPrivacy; LGPD/ISO em nível geral,I/A/C/E genérico em C02; “entre outros” em C01,PA-05,Aceito com ajustes
MPA-29,C01,Acesso cadastral do aluno,"O aluno possui acesso aos próprios dados, mas o conjunto de campos exibidos não é detalhado.",Dado Pessoal; Titular de Dados Pessoais; Consulta; Ator Autorizado,AG-01,AG-01,OP-07,FA-07,RP-07,Funcional,GERPD; OntoPrivacy,C01 permite acesso aos “seus dados cadastrais”,PA-05,Aceito
MPA-30,C01,Alteração cadastral pelo aluno,"Telefone, e-mail e endereço são alteráveis pelo aluno; outros campos do “entre outros” não são definidos.",Dado Pessoal; Alteração; Ator Autorizado,AG-01,AG-01,OP-08,"FA-08 — finalidade Parcial no estado revisado; a alteração é documentada, mas o propósito específico do tratamento não é detalhado autonomamente",RP-08,Funcional,GERPD; OntoPrivacy,C01 lista três exemplos e expressão aberta,PA-05,Aceito com ajustes
MPA-31,C01,Acesso cadastral do professor,"Professor pode acessar próprios dados, mas o conjunto preciso de campos não é especificado.",Dado Pessoal; Titular de Dados Pessoais; Consulta; Ator Autorizado,AG-02,AG-02,OP-15,FA-15,RP-09,Funcional,GERPD; OntoPrivacy,C01 afirma que acesso aos seus dados será liberado,PA-05,Aceito
MPA-32,C01,Alteração cadastral pelo professor,"Professor pode alterar telefone, endereço e e-mail; demais campos do “entre outros” não são identificados.",Dado Pessoal; Alteração; Ator Autorizado,AG-02,AG-02,OP-16,"FA-16 — finalidade Parcial no estado revisado; a alteração é documentada, mas o propósito específico do tratamento não é detalhado autonomamente",RP-10,Funcional,GERPD; OntoPrivacy,"C01, dados “mais dinâmicos”",PA-05,Aceito com ajustes
MPA-33,C02,Cadastros de aluno/professor,"Ações administrativas I/A/C/E são atribuídas ao Funcionário, mas eventual diferenciação interna de permissões não existe no corpus.",Dado Pessoal; Consulta; Alteração; Exclusão; Ator Autorizado,AG-01; AG-02,AG-03,OP-04–OP-06; OP-12–OP-14,FA correspondentes,RP-11,Funcional,GERPD; OntoPrivacy,C02 Tabela 2/Tabela 3,PA-05,Aceito
MPA-34,C02,Exclusão de aluno/professor,"C02 define condições funcionais de exclusão, mas não especifica quais dados são realmente eliminados ou preservados.",Dado Pessoal; Exclusão; Armazenamento,AG-01; AG-02,AG-03; AG-08,OP-06; OP-14,FA-06; FA-14,RP-12 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Restrições de exclusão na Tabela 3,PA-08,Aceito com ajustes
MPA-35,C02,Cancelamento de matrícula,"“Cancelar matrícula” não esclarece se o vínculo é apagado, alterado ou historicamente preservado.",Dado Pessoal; Alteração; Exclusão; Armazenamento,AG-01,AG-01; AG-03; AG-08,OP-23,FA-23,RP-13 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy,Caso de uso Efetuar Matrícula — Cancelar matrícula,PA-08,Aceito com ajustes
MPA-36,C01,RNF11 — senha,"O corpus já exige armazenamento seguro das senhas, sem especificar solução técnica.",Dado Pessoal; Armazenamento,AG-01–AG-03,AG-08,OP-17–OP-19,FA-17–FA-19,RP-14,Não funcional,GERPD; OntoPrivacy; LGPD/ISO em nível geral,C01 RNF11,PA-06,Aceito
MPA-37,C01,Administração de credenciais,Quem pode consultar ou administrar credenciais armazenadas não é identificado.,Dado Pessoal; Armazenamento; Ator Autorizado; Ator Desautorizado,AG-01–AG-03,AG-07/AG-08; administrador concreto A verificar,OP-17; OP-18,FA-17; FA-18,RP-15,Controle,GERPD; OntoPrivacy; LGPD/ISO em nível geral,RNF01/RNF11 não definem administração das credenciais,PA-06,Aceito
MPA-38,C01,Alteração da senha padrão,Aluno e professor podem alterar a senha padrão; o corpus não diz que a troca é obrigatória.,Dado Pessoal; Alteração; Ator Autorizado,AG-01; AG-02,AG-01; AG-02; AG-08,OP-19,FA-19,RP-16,Funcional,GERPD; OntoPrivacy,“A senha poderá ser alterada já no primeiro acesso”,PA-06,Aceito
MPA-39,C02,Alocar Professor,"Área de atuação e disponibilidade/horário são sustentadas na seleção, mas outros dados apresentados não são identificados.",Dado Pessoal; Disponibilização,AG-02,AG-03; AG-08,OP-20 conforme AR-02,FA-20,RP-17 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy,"C02 Alocar Professor, passo 2; AR-02",PA-11,Aceito com ajustes
MPA-40,C02,Alocar Professor,A disponibilização ao funcionário deve ser limitada ao conjunto posteriormente validado como necessário.,Dado Pessoal; Disponibilização; Ator Autorizado,AG-02,AG-03; AG-08,OP-20 conforme AR-02,FA-20,RP-18,Funcional,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Mesma evidência; conjunto necessário ainda depende de RP-17,PA-11,Aceito
MPA-41,C01; C02,Resultado.observacao,Há divergência: C01 indica lançamento de observação; C02 marca o atributo como não obrigatório.,Dado Pessoal; Coleta; Armazenamento,AG-01,AG-02; AG-08,OP-25; OP-26,FA-25; FA-26,RP-19 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy,C01 minimundo versus C02 Seção 6.2,PA-10,Aceito com ajustes
MPA-42,C02,Controlar Avaliação,"Pontuação e observação são registradas pelo professor, mas a regra de autorização precisa corresponder à turma/avaliação pertinente.",Dado Pessoal; Coleta; Armazenamento; Ator Autorizado,AG-01,AG-02; AG-08,OP-25; OP-26,FA-25; FA-26,RP-20,Funcional,GERPD; OntoPrivacy,Caso de uso Controlar Avaliação,PA-05,Aceito
MPA-43,C01; C02,Realizar Chamada,"Registro de faltas é atribuído ao professor, mas eventual autorização de outros perfis não é documentada.",Dado Pessoal; Coleta; Armazenamento; Ator Autorizado,AG-01,AG-02; AG-08,OP-28; OP-29,FA-28; FA-29,RP-21,Funcional,GERPD; OntoPrivacy,C01 RF10; C02 Realizar Chamada,PA-05; PA-20,Aceito
MPA-44,C02,Realizar Chamada — “os alunos são exibidos”,Os dados concretos usados para identificar alunos na chamada não estão especificados.,Dado Pessoal; Disponibilização,AG-01,AG-02; AG-08,OP-27,FA-27,RP-22 — considerar texto humano revisado da Etapa 3.2,Negócio,GERPD; OntoPrivacy,C02 passo 2 do caso de uso,PA-12,Aceito com ajustes
MPA-45,C01,Fechamento de turma — resumo,Notas e frequências são disponibilizadas a professor/funcionário para conferência antes do fechamento.,Dado Pessoal; Disponibilização; Ator Autorizado,AG-01,AG-02; AG-03; AG-08,OP-31,FA-31,RP-23,Funcional,GERPD; OntoPrivacy,"C01 Seção 3, resumo de fechamento",PA-05,Aceito
MPA-46,C01; C02,Fechamento de turma — situação acadêmica,O fechamento altera a situação do aluno; a alteração deve ficar limitada aos atores autorizados ao fechamento.,Dado Pessoal; Alteração; Ator Autorizado,AG-01,AG-02; AG-03; AG-08,OP-32,FA-32,RP-24,Funcional,GERPD; OntoPrivacy,C01 atualização cursando/aprovado/reprovado; C02 Figura 6,PA-05,Aceito
MPA-47,C01; C02,RF15; Aluno.status,"O corpus exige registrar a situação do aluno perante o curso, mas não identifica o perfil responsável; não há evidência suficiente para acrescentar Alteração como operação confirmada.",Dado Pessoal; Armazenamento,AG-01,AG-08; responsável humano A verificar,OP-34 — Armazenamento,FA-34,RP-25 — considerar texto humano revisado; remover Alteração como conceito confirmado,Negócio,GERPD; OntoPrivacy,C01 RF15; C02 Aluno.status,PA-13,Aceito com ajustes
MPA-48,C01; C02,Relatório de resultados,O relatório é funcionalmente restrito a Registro Escolar e professores; outros alunos são expressamente vedados.,Dado Pessoal; Consulta; Disponibilização; Ator Autorizado; Ator Desautorizado,AG-01,AG-02; AG-03; AG-06; AG-08,OP-35; OP-36,FA-35; FA-36,RP-26,Funcional,GERPD; OntoPrivacy,C01 restrição expressa; C02 Tabela 5,PA-15,Aceito
MPA-49,C01,Relatório de resultados,Tentativa de um aluno acessar resultados de outro deve ser negada sem disponibilização desses dados.,Dado Pessoal; Consulta; Disponibilização; Ator Desautorizado,AG-01,AG-06; AG-08,OP-35/36 no contexto vedado,FA-35/36,RP-27,Critério de aceitação,GERPD; OntoPrivacy,C01: “não podendo ser acessado por outros alunos”,PA-15,Aceito
MPA-50,C02,Relatório de resultados do professor,Professor somente deve consultar turmas que ministra ou ministrou.,Dado Pessoal; Consulta; Disponibilização; Ator Autorizado,AG-01,AG-02; AG-08,OP-35; OP-36,FA-35; FA-36,RP-28,Funcional,GERPD; OntoPrivacy,C02 Tabela 5,PA-15,Aceito
MPA-51,C02,Relatório de turma não ministrada,Professor fora do vínculo da turma deve ser tratado como desautorizado para esse relatório.,Dado Pessoal; Consulta; Disponibilização; Ator Desautorizado,AG-01,AG-02 nesse contexto; AG-08,OP-35/36 no contexto vedado,FA-35/36,RP-29,Critério de aceitação,GERPD; OntoPrivacy,Restrição de C02 às turmas ministradas,PA-15,Aceito
MPA-52,C01; C02,Boletim e histórico,"Aluno deve acessar seus próprios documentos, preservadas permissões administrativas documentadas para o registro acadêmico.",Dado Pessoal; Titular de Dados Pessoais; Consulta; Disponibilização; Ator Autorizado,AG-01,AG-01; AG-03; AG-08,OP-37–OP-40,FA-37–FA-40,RP-30,Funcional,GERPD; OntoPrivacy,C01 “seu histórico e boletim”; C02 Tabela 5,PA-15,Aceito
MPA-53,C01; C02,Boletim/histórico de outro aluno,"O corpus documenta acesso do aluno aos seus próprios boletim e histórico, mas não contém vedação textual tão explícita quanto a existente para o Relatório de Resultados; a classificação de um aluno como Ator Desautorizado nesse contexto depende de validação.",Dado Pessoal; Consulta; Disponibilização; Ator Desautorizado — A validar,AG-01,AG-01 em contexto de dado alheio; AG-08,OP-37–OP-40,FA-37–FA-40,RP-31 — Pendente de validação,Critério de aceitação,GERPD; OntoPrivacy,C01 acesso aos “seus” dados; RNF01; C02 atores,PA-15,Pendente de validação
MPA-54,C01,RNF07 — consulta móvel,"O canal móvel é previsto para notas/frequências, mas os controles específicos de autorização não estão documentados.",Dado Pessoal; Consulta; Disponibilização; Ator Autorizado; Ator Desautorizado,AG-01,AG-01; AG-08,OP-37–OP-40,FA-37–FA-40,RP-32,Controle,GERPD; OntoPrivacy,C01 RNF07,PA-16,Aceito
MPA-55,C01,Exportação PDF,O corpus não explicita uma checagem própria de autorização imediatamente antes da exportação.,Dado Pessoal; Disponibilização; Ator Autorizado; Ator Desautorizado,AG-01,AG-01/AG-03 conforme relatório; AG-08,OP-41,"FA-41 — finalidade Parcial no estado revisado; a exportação é prevista, mas o propósito específico do tratamento e suas condições posteriores não são plenamente detalhados",RP-33,Controle,GERPD; OntoPrivacy,C01 opção de exportar boletim/histórico,PA-17,Aceito com ajustes
MPA-56,C01,Conteúdo do PDF,"O conteúdo exportado deve ficar restrito aos dados que o usuário pode consultar, mas a composição específica da versão PDF não está documentada.",Dado Pessoal; Disponibilização; Ator Autorizado,AG-01,AG-01/AG-03; AG-08,OP-41,"FA-41 — finalidade Parcial no estado revisado; a exportação é prevista, mas o propósito específico do tratamento e suas condições posteriores não são plenamente detalhados",RP-34,Funcional,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Ausência de especificação própria do conteúdo exportado,PA-17,Aceito com ajustes
MPA-57,C01,Arquivo PDF após exportação,"Destino, armazenamento, permanência e acesso ao PDF após exportação não estão documentados.",Dado Pessoal; Disponibilização,AG-01,AG-07; AG-08; usuários autorizados,OP-41 — Disponibilização; eventual Armazenamento posterior do PDF permanece A verificar,"FA-41 — finalidade Parcial no estado revisado; a exportação é prevista, mas o propósito específico do tratamento e suas condições posteriores não são plenamente detalhados",RP-35 — considerar texto humano revisado quanto ao responsável; Armazenamento posterior permanece A verificar,Negócio,GERPD; OntoPrivacy; LGPD/ISO em nível geral,C01 apenas determina exportação,PA-17,Aceito com ajustes
MPA-58,C01; C02,Integração RNF10,"O corpus não identifica quais dados são enviados, recebidos ou utilizados no WebService de CEP e não permite classificar DP-37 como Dado Pessoal.",Não aplicável — DP-37 sem classificação ontológica confirmada,A verificar,AG-09; AG-08; AG-07,A verificar,FA-42,RP-36 — considerar texto humano revisado quanto ao responsável,Negócio,GERPD; OntoPrivacy,RNF10 sem especificação de interface,PA-07,Aceito com ajustes
MPA-59,C01,Participante do WebService,Provedor e responsabilidades do serviço precisam ser identificados antes de qualquer classificação ontológica de papel.,"Controlador; Operador; Terceiro — candidatos à validação, não atribuídos",A verificar,AG-09; AG-07,A verificar,FA-42,RP-37 — considerar texto humano revisado quanto ao responsável,Negócio,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Provedor/responsabilidades ausentes,PA-02; PA-07,Aceito com ajustes
MPA-60,C01; C02,RNF01 e perfis,"O Tibico documenta controle de acesso por perfil, que deve ser aplicado às funcionalidades conforme usuário autenticado.",Ator; Ator Autorizado; Ator Desautorizado; Consulta; Disponibilização,Titulares conforme dado,AG-01–AG-03; AG-06; AG-08,Operações conforme funcionalidade,FA-43 e demais FA de acesso,RP-38,Controle,GERPD; OntoPrivacy,C01 RNF01; C02 Tabela 2/Figuras 2–3,PA-05,Aceito
MPA-61,C01; C02,Matriz implícita de permissões,"O corpus apresenta permissões pontuais, mas não uma especificação completa de todos os acessos envolvendo dados pessoais.",Ator Autorizado; Ator Desautorizado; Tratamento de Dados Pessoais,Titulares conforme operação,AG-01–AG-03; AG-06; AG-07,OP pertinentes por perfil,FA-04–FA-43 conforme contexto,RP-39 — considerar texto humano revisado da Etapa 3.2,Controle,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Dispersão de regras de acesso entre requisitos/casos de uso,PA-05,Aceito com ajustes
MPA-62,C01; C02,Papéis de tratamento,"Controlador, Operador e Terceiro não podem ser atribuídos com segurança aos participantes organizacionais/externos do corpus.",Controlador; Operador; Terceiro; Tratamento de Dados Pessoais — papéis de agente permanecem A verificar,Conforme tratamento futuro,"AG-03; AG-07; AG-09, conforme validação",Conforme papel validado,A verificar,RP-40 — considerar texto humano revisado quanto ao responsável,Negócio,GERPD; OntoPrivacy; LGPD/ISO em nível geral,Etapa 3 não encontrou evidência suficiente,PA-02,Aceito com ajustes
